No;Region;Area;Node;Sektor;MAC;Device Name;Remote;Lat;Long;Distance;IP Address;Device Type;Device;Serial Number;Description;Status;Bandwith;Keterangan;FO;WIBAS;STARLINK;M2M;Status Mig;Keterangan
1;CRO;CJDA;SOLO SAHID_DISMANTLE - TAC WOPM;SLOSRHBC02090;00:04:56:D9:FD:14;;;-7,56396;110,81946;;172.31.85.130;ePMP 2000 AP;PtMP;E6VK06N3KG3D;;Offline;;;;;;;;
2;CRO;CJDA;SOLO SAHID_DISMANTLE - TAC WOPM;SLOSRHBC01000;00:04:56:DA:0C:3C;;;-7,5638;110,81943;;172.31.85.131;ePMP 2000 AP;PtMP;E6VL07R60H81;;Offline;;;;;;;;
3;CRO;CJDA;;;58:C1:7A:4E:2C:08;;2017001642-PANIN SYARIAH;;;;172.31.85.135;ePMP Force 200 SM;PtMP;E8WK074GZ1PR;;Offline;;;;;;;;
4;CRO;CJDA;;;58:C1:7A:41:74:56;;2013005352-ATM BNI MOJOSONGO;;;;172.31.85.136;ePMP Force 200 SM;PtMP;E8UK0DQXLQZP;;Offline;;;;;;;;
5;CRO;CJDA;;;58:C1:7A:49:D6:C2;;ATM_BNI_POLTEKES;;;;172.31.85.137;ePMP Force 200 SM;PtMP;E8WC04N0DZS4;;Offline;;;;;;;;
6;CRO;CJDA;;;58:C1:7A:4E:0E:0C;;2014005966-ATM MANDIRI BRAYAT;;;;172.31.85.138;ePMP Force 200 SM;PtMP;E8WJ1817S07V;;Offline;;;;;;;;
7;CRO;CJDA;;;58:C1:7A:41:92:10;;2018005645-BNI MOJOSONGO;;;;172.31.85.139;ePMP Force 200 SM;PtMP;E8UK0JPN90J1;;Offline;;;;;;;;
8;CRO;CJDA;;;58:C1:7A:41:8F:CA;;2021255582-BANK INA INDOGROSIR;;;;172.31.85.162;ePMP Force 200 SM;PtMP;E8UK0JD8K86B;;Offline;;;;;;;;
9;CRO;CJDA;;;58:C1:7A:41:8C:56;;ATM-CIMB-GRAHAPADMA;;;;172.31.87.12;ePMP Force 200 SM;PtMP;E8UK0HY0BJDT;;Offline;;;;;;;;
10;CRO;CJDA;;;58:C1:7A:41:8F:04;;ATM-DANAMON-RS_COLUMBIA;;;;172.31.87.13;ePMP Force 200 SM;PtMP;E8UK0J92790N;;Offline;;;;;;;;
11;CRO;CJDA;KUDUS;KDSIKCBC04270;00:04:56:DA:08:DE;;;-6,920556;110,9325;;172.31.87.133;ePMP 2000 AP;PtMP;E6VL078TMBWX;;Offline;;;;;;;;
