No;Region;Area;Node;Sector Name;ME;User Label;Total Terminal;SW Version;MAC Adress;Resource Type;Contact;Location;Latitude;Longitude;Connectivity;State;Distance (m);Bandwidth;Service Remote;
1;CRO;Central Java and DIY Area;;SLOSRHBI2V090_In Active (TAC-WRLS);172.31.133.3;;Non-TS;;;BS - WiBAS OSDR Hub;CT-SAHID SOLO;;;;Unreachable;Dismantle;;;;
2;CRO;Central Java and DIY Area;SLOSRH;SLOSRHBI3H180;172.31.133.4;;7 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:69:99:2D;BS - WiBAS OSDR Hub;CT-SAHID;;-7;;Connected;Active;;;;
3;CRO;Central Java and DIY Area;;;172.31.133.20;2019005852-Bank-Agris-IBK;;7.1.0_2302_R.3.3.2.build_02;00:05:59:69:B8:45;TS - WiBAS OSDR TS;;;;;Connected;Active;1891;2 Mbps;<= 5 Mbps;
4;CRO;Central Java and DIY Area;;;172.31.133.21;LA-KANTOR;;7.1.0_2302_R.3.3.2.build_02;00:05:59:6A:2F:5E;TS - WiBAS OSDR TS;;;;;Connected;Active;5283;8 Mbps;5 Mb < SR < 10 Mb;
5;CRO;Central Java and DIY Area;;;172.31.133.24;2016005394-HANA-BANK;;7.1.0_2302_R.3.3.2.build_02;00:05:59:6A:41:7E;TS - WiBAS OSDR TS;DRK;;;;Connected;Active;1015;512 Kbps;<= 5 Mbps;
6;CRO;Central Java and DIY Area;;;172.31.133.27;2020227882-TELKOM-MAYBANK;;7.1.0_2302_R.3.3.2.build_02;00:05:59:6A:92:BE;TS - WiBAS OSDR TS;;Jl Veteran;;;Connected;Active;;1 Mbps;<= 5 Mbps;
7;CRO;Central Java and DIY Area;;;172.31.133.28;2020231420-LOTTE-TIPES;;7.1.0_2302_R.3.3.2.build_02;00:05:59:69:F3:36;TS - WiBAS OSDR TS;;Jl Bhayangkara;;;Connected;Active;1868;5 Mbps;<= 5 Mbps;
8;CRO;Central Java and DIY Area;;;172.31.133.29;20220231556-LOTTE-THEPARK;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:93:EC;TS - WiBAS Connect;Ardian;;;;Connected;Active;;5 Mbps;<= 5 Mbps;
9;CRO;Central Java and DIY Area;;;172.31.133.30;2019200955-MNC-BANK;;7.1.0_2302_R.3.3.2.build_02;00:05:59:6A:70:86;TS - WiBAS OSDR TS;GUNTUR;8,14E+16;;;Connected;Active;853;2 Mbps;<= 5 Mbps;
10;CRO;Central Java and DIY Area;;SLOSRHBI4V270_In Active (TAC-WRLS);172.31.133.5;;Non-TS;;;BS - WiBAS OSDR Hub;CT-SAHID SOLO;;;;Unreachable;Dismantle;;;;
11;CRO;Kalimantan Area;BLPRAM;BLPRAMBI1V045;172.31.141.2;;5 TS;;;BS - WiBAS OSDR Hub;frr;Altitude 63 mdpt Tilt 4;-1.247917;116.838194;Unreachable;Inactive;;;;
12;CRO;Kalimantan Area;;;172.31.141.12;2021256479;;;;TS - WiBAS Connect;ATM-SINARMAS-MAXI;JL.soekarno hatta km 5;-1.211946;116.863009;Unreachable;Inactive;;;;
13;CRO;Kalimantan Area;;;172.31.141.6;2022331387-BTN;;;;TS - WiBAS Connect;;;;;Unreachable;Inactive;;;;
14;CRO;Kalimantan Area;;;172.31.141.7;2015000181-KALBE;;;;TS - WiBAS OSDR TS;;KARIANGAU;-1.17305;116.8515;Unreachable;Inactive;;;;
15;CRO;Kalimantan Area;;;172.31.141.8;2011007128-BPD-batu-ampar;;;;TS - WiBAS Connect;zulmaidi;batu ampar;;;Unreachable;Inactive;;;;
16;CRO;Kalimantan Area;;;172.31.141.9;NMS-RADIO-TRUNKING;;;;TS - WiBAS Connect;RIDVAN;BATU AMPAR;;;Unreachable;Inactive;;;;
17;CRO;Kalimantan Area;BJMSLT;BJMSLTBI1H000;172.31.163.130;;Non-TS;;;BS - WiBAS OSDR Hub;NAYAN;BANJARMASIN;;;Unreachable;Dismantle;;;;
18;CRO;Kalimantan Area;BJMBPD;BJMBPDBI2V110;172.31.142.131;;Non-TS;;;BS - WiBAS OSDR Hub;WDY;CT BJMBPD;;;Unreachable;Dismantle;;;;
19;CRO;Kalimantan Area;;BJMBPDBI4H340;172.31.142.130;;Non-TS;;;BS - WiBAS OSDR Hub;WDY;;;;Unreachable;Dismantle;;;;
20;CRO;West Java Area;BDGBBPB;BDGBBPBI01H165;172.31.147.2;;4 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:5E:D4:7A;BS - WiBAS OSDR Hub;SentralWJA;Bukit Berlian Padalarang;-6.836141;107.48698;Connected;Active;;;;
21;CRO;West Java Area;;;172.31.147.10;2020216415-OCBCNISP;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:90:86;TS - WiBAS Connect;NISP;;;;Connected;Active;;6 Mbps;5 Mb < SR < 10 Mb;
22;CRO;West Java Area;;;172.31.147.11;2014000505;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:93:D8;TS - WiBAS Connect;;KOTABARU;;;Connected;Active;;10 Mbps;5 Mb < SR < 10 Mb;
23;CRO;West Java Area;;;172.31.147.12;2021289359-TelkomMaybank;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:91:08;TS - WiBAS Connect;Maybank;Ruko Pancawarna Kotabaru;;;Connected;Active;;3 Mbps;<= 5 Mbps;
