No;bulan_tahun;MINGGU;Bulan;case_number;case_category;Type;subject;asset_name;date_time_opened;date_time_closed;case_age_hrs;total_stop_clock_hrs;MTTR;Target;mttr_achieved;pj_gangguan;media_access;location;asset_function;asset_part;defect;case_cause;solution;case_owner;SEGMENT;NAMA POP   ;region_rumus_approval;service_region_rumus_approval;cluster_rumus_approval;Root Cause;Imbas;real_penyebab;Corrective;Target Corrective;Preventive;Target Preventive;PJ TASK FORCE;d;xcek
1;2025-April;3;4;TT-005335-2025;INCIDENT;NODE;NODE WIBAS MDNCMBBI2H120 INTERMITTEN;MDNCMBBI2H120;17/04/2025;17/04/2025;8;0;8.35;5;0;LINTASARTA;LA MASSAL WIRELINE;SENTRAL;BWA WIBAS;ARRESTER;DOWN;ODU PROBLEM;GANTI KABEL BARU, GANTI ARRESTER, GANTI MODEM;NSD;MDNCMB;GEDUNG CAMBRIDGE;MEDAN;WILUS BARAT;WILUS BARAT AREA I; ;6;PERANGKAT; ; ; ; ;TAC VSAT & WIRELESS; ; 
2;2025-Februari;3;2;TT-002438-2025;INCIDENT;NODE;NODE BWA WIBAS JKTKGDBI3H225-SFP DOWN;JKTKGDBI3H225;17/02/2025;17/02/2025;3;0;2.483.333.333;0,21875;1;LINTASARTA;LA MASSAL BWA;SENTRAL;BWA WIBAS;POE;DOWN;IDU PROBLEM;GANTI POE;MFF;JKTKGD;KONDOMINIUM MENARA KELAPA GADING;JAKARTA UTARA;WILUS PUSAT;NORTH & EAST AREA;PERANGKAT;2;PERANGKAT;GANTI POE;DONE;TIDAK ADA;DONE;TAC VSAT & WIRELESS; ; 
3;2025-Maret;3;3;TT-004149-2025;INCIDENT;NODE;NODE BWA WIBAS CLGIM3BI04V315 DOWN;CLGIM3BI04V315;20/03/2025;20/03/2025;6;0;5.06;11;1;LINTASARTA;LA MASSAL BWA;TRUNK;BWA WIBAS;ODU;DOWN;PERANGKAT TRANSPORT PROBLEM;GANTI ARRESTER;VAZ;CLGIM3; ;CILEGON;WILUS PUSAT;BANTEN & WEST AREA;PERANGKAT;2;PERANGKAT;GANTI ARRESTER;DONE;TIDAK ADA;TIDAK ADA;TAC VSAT & WIRELESS; ; 
4;2025-Februari;3;2;TT-002633-2025;INCIDENT;NODE;NODE WIBAS DPSIKTBI1H350 DOWN;DPSIKTBI1H350;20/02/2025;20/02/2025;1;0;1.283.333.333;6;1;LINTASARTA;LA MASSAL BWA;SENTRAL;BWA WIBAS;POE;DOWN;PERANGKAT TRANSPORT PROBLEM;GANTI POE;MDV;DPSIKT;INDOSAT KUTA;BADUNG;WILUS TIMUR;WILUS TIMUR AREA II;PERANGKAT;0;PERANGKAT;GANTI POE;DONE;TIDAK ADA;DONE;TAC VSAT & WIRELESS; ; 
5;2025-Maret;4;3;TT-004450-2025;INCIDENT;NODE;NODE BWA WIBAS JKTBRIBI4V315 DOWN;JKTBRIBI4V315;26/03/2025;26/03/2025;5;0;0,170138889;5;1;LINTASARTA;LA MASSAL BWA;SENTRAL;BWA WIBAS;ODU;DOWN;ODU PROBLEM;UNPLUG PLUG;NSD;JKTBRI;BANK RAKYAT INDONESIA II;JAKARTA PUSAT;WILUS PUSAT;BUSINESS DISTRICT AREA;INSTALASI;0;PERANGKAT;UNPLUG / PLUG CABEL;DONE;MONITORING;M4 APRIL;TAC VSAT & WIRELESS; ; 
6;2025-April;3;4;TT-005227-2025;INCIDENT;NODE;NODE BWA WIBAS JKTKD2BI5V135 DOWN;JKTKD2BI5V135;15/04/2025;15/04/2025;3;0;3.066.666.667;6.05;1;LINTASARTA;LA MASSAL BWA;SENTRAL;BWA WIBAS;POE;DOWN;IDU PROBLEM;GANTI POE;NSD;JKTKD2;KEDOYA ELOK APARTMENT 2;JAKARTA BARAT;WILUS PUSAT;BANTEN & WEST AREA;PERANGKAT;0;PERANGKAT;GANTI POE;DONE;TIDAK ADA;DONE;TAC VSAT & WIRELESS; ; 
7;2025-April;4;4;TT-005942-2025;INCIDENT;NODE;NODE WIBAS BDASTUBI4H180 DOWN;BDASTUBI4H180;27/04/2025;27/04/2025;4;0;3.483.333.333;5;1;LINTASARTA;LA MASSAL BWA;SENTRAL;BWA WIBAS;ODU;DOWN;ODU PROBLEM;PENGGANTIAN RF;VAZ;BDASTU;BTS INDOSAT SETUI_RAYA (04NAD007);BANDA ACEH;WILUS BARAT;WILUS BARAT AREA I; ;0;PERANGKAT; ; ; ; ;TAC VSAT & WIRELESS; ; 
8;2025-April;4;4;TT-005901-2025;INCIDENT;NODE;NODE WIBAS BDASTUBI4H180 DOWN;BDASTUBI4H180;26/04/2025;27/04/2025;7;0;7.016.666.667;5;0;LINTASARTA;LA MASSAL BWA;SENTRAL;BWA WIBAS;ODU;DOWN;ODU PROBLEM;REPLACE RF;NSD;BDASTU;BTS INDOSAT SETUI_RAYA (04NAD007);BANDA ACEH;WILUS BARAT;WILUS BARAT AREA I; ;0;PERANGKAT; ; ; ; ;TAC VSAT & WIRELESS; ; 
9;2025-Juni;3;6;TT-018673-2025;INCIDENT;NODE;NODE BWA WIBAS SBYRWJBI02 DOWN;SBYRWJBI02;21/06/2025;21/06/2025;6;0;5.483.333.333;5.05;1;LINTASARTA;LA MASSAL BWA;SENTRAL;BWA WIBAS;ODU;DOWN;PERANGKAT TRANSPORT PROBLEM;GANTI RF;MDV;SBYRWJ;RADIO WIJAYA;SURABAYA;WILUS TIMUR;WILUS TIMUR AREA I;PERANGKAT;0;PERANGKAT;GANTI RF;DONE;TIDAK ADA;DONE;TAC VSAT & WIRELESS; ; 
10;2025-Juli;1;7;TT-019185-2025;INCIDENT;NODE;NODE BWA WIBAS JKTKSRBI3H225 DOWN;JKTKSRBI3H225;01/07/2025;01/07/2025;13;0;13.25;6;0;LINTASARTA;LA MASSAL BWA;SENTRAL;BWA WIBAS;ARRESTER;DOWN;BAD CONTACT;GANTI ARRESTER;AHD;JKTKSR;MENARA KEBON SIRIH;JAKARTA PUSAT;WILUS PUSAT;CENTRAL DISTRICT AREA;PERANGKAT;0;RL TRUNK;Ganti Arrester;DONE;TIDAK ADA;DONE;TAC VSAT & WIRELESS;Terkait izin dari BM pekerjaan tidak boleh dilakukan di luar jam kerja ; 
11;2025-Agustus;4;8;TT-022114-2025;INCIDENT;NODE;NODE WIBAS SBYKYNBI01 DOWN;SBYKYNBI01;22/08/2025;22/08/2025;7;0;6.45;5.05;0;LINTASARTA;LA MASSAL RL;TRUNK;BWA WIBAS;POWER;DOWN;TERGALI;ROOT COUSE : ANTENA WIBAS SBYKYNBI01 DOWN IMPACT PEKERJAAN MITRA CMI, PERANGKAT ANTENA SALAH CABUT. ACTION : PEMASANGAN ANTENA KEMBALI SEBELUMNNYA DI CABUT OLEH CMI;RIH;SBYKYN;INDOSAT KAYOON;SURABAYA;WILUS TIMUR;WILUS TIMUR AREA I; ;10;RL TRUNK; ; ; ; ;TAC VSAT & WIRELESS; ; 
